squareMeters,numberOfRooms,floors,numPrevOwners,made,hasGuestRoom,price
43250,2,55,7,2019,7,4334802.9
88168,94,57,2,2020,9,8825815
37506,88,94,7,2016,7,3753651.6
64269,77,26,2,2000,9,6428786
7490,71,3,10,1996,6,753009.6
97121,98,100,8,2012,1,9717727.2
14185,3,94,7,2002,3,1422531.2
86682,12,80,4,1996,8,8674009.6
34282,24,94,9,1991,3,3440156.1
89022,48,44,10,2004,1,8904794.4
91543,6,77,9,2013,0,9166876.3
54993,22,70,2,2017,5,5503799.7
85795,3,22,4,1990,7,8587486
64079,93,50,8,2019,8,6412901.9
80116,85,14,7,2000,8,8015692
52866,23,40,8,2004,4,5293836.4
68375,55,74,2,1994,1,6838539.4
55802,91,32,7,2011,4,5588172.1
62117,80,3,8,1995,3,6212439.5
50890,49,90,4,2020,5,5094287
44248,24,28,4,2018,6,4431469.8
76326,2,83,4,2004,0,7635872.4
56778,85,67,6,2005,9,5679689.5
80225,100,67,6,2002,6,8025744.2
69320,22,45,6,2017,0,6939825.7
24962,41,6,1,2014,2,2497425.4
91964,56,93,7,2013,0,9209295.3
40787,73,88,9,2011,4,4091282.1
28053,21,22,6,1991,4,2815718.1
90172,34,65,2,1999,3,9023549.9
816,7,48,3,2003,0,87585.3
751,2,71,6,1992,0,82123.2
87627,33,89,9,1999,4,8769190.9
16786,93,36,10,2007,10,1684521.7
74832,60,69,3,1992,10,7492714.2
12920,1,83,9,2016,3,1305319.6
54879,79,6,10,1999,2,5492312.9
62083,96,81,5,1994,1,6218129.4
96814,90,9,7,1999,7,9687090.9
38301,66,53,8,2004,1,3841237.4
78947,86,94,1,1992,6,7900369.2
44836,85,88,10,2000,3,4493247
5488,56,35,3,1992,4,554027.2
99886,83,37,8,2003,2,9999687.3
57072,87,32,6,2013,1,5710445.3
93684,24,35,2,2016,8,9373516.6
96978,75,68,1,1991,9,9703653.1
3624,80,1,4,1999,3,365077.9
78000,50,25,5,2000,6,7801225
25972,7,98,8,1996,4,2605855.6
93922,54,89,8,2011,3,9403863.1
61039,27,69,1,1995,6,6114260.5
84404,70,98,8,2001,2,8456155.1
73622,7,54,1,2020,9,7365758
81012,92,7,3,2012,7,8104126.2
73687,25,49,3,2001,2,7376903.1
93952,63,10,2,2015,2,9403674.5
82120,77,62,1,2001,10,8216635.1
2351,69,51,1,2018,8,239411.8
38132,73,16,2,1996,3,3818556.6
42808,33,67,2,1996,5,4290930.6
70722,57,55,7,2016,5,7076626.6
46134,71,23,6,2004,8,4624090.4
92044,60,28,3,2001,10,9210929.1
12583,62,79,5,2001,4,1267192.1
38048,67,74,9,2010,5,3808313
48546,64,60,1,1993,3,4860634.3
94228,34,62,10,1994,6,9430661.4
55825,69,25,1,2001,4,5585288.1
7773,100,85,1,2007,8,792566.7
24180,68,93,7,1991,8,2425595.1
30502,91,77,6,1998,9,3062069.8
30346,25,80,5,2000,2,3047721
20311,23,87,1,2017,7,2039188.7
70936,60,21,3,2006,10,7094370.6
56416,41,99,7,2021,6,5653890.1
26073,59,23,10,2006,8,2612190.6
79182,37,9,3,1993,7,7922295.3
39627,29,44,2,2008,6,3964708.8
97677,51,35,2,1994,5,9772148.4
34013,84,95,1,2014,0,3411660.4
55620,90,90,6,2002,4,5573469.2
77421,70,6,10,2011,2,7743163.1
50844,99,83,2,1995,3,5092707.5
94541,78,67,4,2003,10,9460440.3
10976,17,77,1,2001,0,1108155.1
52697,25,60,3,2009,9,5278045.9
38860,27,70,8,1991,5,3894132.1
98501,66,51,5,2002,4,9856475.2
49300,64,46,9,2019,7,4936882.9
8562,24,33,3,2015,5,860330.5
51585,70,8,7,2010,4,5163838
55038,46,45,3,2007,6,5510722.7
74166,35,16,2,1990,9,7423668
43885,69,3,7,2010,6,4393918
55391,27,7,1,1991,2,5544879.1
9551,27,33,1,1992,6,956658.2
17655,55,58,1,2012,7,1769201.2
28743,30,49,4,2000,6,2881705
12744,56,4,3,2016,1,1279063.6
34109,36,19,8,2003,7,3416596.3
55971,94,30,10,2001,3,5600410.1
8163,17,45,7,1992,7,825054.2
4463,93,39,2,2012,2,453762.2
51890,85,37,8,2020,3,5194644
88616,92,37,1,1999,0,8868266.9
61104,88,51,4,1997,9,6124108.7
31832,90,85,1,2003,2,3193411.3
12683,92,7,1,2019,9,1275226.9
37375,13,66,2,2015,1,3745925.5
10310,85,93,9,2016,6,1041341.6
38300,27,8,5,2005,10,3831178.5
91524,23,43,5,1998,5,9160076.8
41155,9,51,5,2012,9,4121258.2
97732,45,19,7,2014,1,9774150.4
5431,15,13,2,2011,5,548835.1
97452,83,54,1,1992,7,9751753.2
88935,70,28,5,2002,4,8903298.2
61243,58,75,10,1993,5,6132501.3
41367,6,37,10,1994,1,4147892.4
95269,87,44,8,2018,2,9529625.8
6501,53,39,6,1991,3,658653.1
44229,65,39,3,1993,4,4429834.3
10745,86,14,4,1995,9,1080749.5
33647,9,78,5,2020,5,3373938
35930,95,27,3,2012,0,3598810.2
37961,67,85,2,2011,5,3806007.1
40639,27,42,10,2013,2,4074524.3
18866,49,44,1,1998,8,1890711.8
69101,90,2,7,2017,6,6914075.7
94109,72,83,2,2014,1,9417855.4
43366,59,44,1,2015,0,4346233.5
85181,4,98,6,2020,6,8530230
51340,5,73,2,1999,6,5138145.9
48870,22,69,2,2013,10,4894474.3
2167,98,93,8,1990,4,226782
88926,38,23,5,2012,6,8893969.2
65472,69,5,9,2001,8,6549900.1
60060,58,60,3,2010,10,6010411
43295,34,22,9,1995,5,4335970.5
65322,5,94,3,2010,6,6537327
43084,5,27,10,2018,1,4312866.8
51419,68,92,10,2014,8,5145979.4
31464,21,21,10,1992,1,3148466.2
9503,12,8,4,2016,2,955903.6
33272,97,88,7,2020,10,3332408
32257,72,84,1,2006,9,3239971.6
61217,36,18,5,2012,9,6126771.2
75887,30,51,2,2003,5,7592702.3
73064,12,49,10,1994,2,7312103.4
10648,72,90,10,2012,7,1071651.2
4149,70,19,5,2001,5,420560.1
75350,6,64,5,2021,3,7539904.1
70345,90,2,8,2015,7,7035087.5
39723,57,84,1,1995,1,3981216.5
96429,68,49,7,2004,5,9650188.4
20001,37,48,8,2013,7,2007477.3
163,6,29,3,1990,3,17363
77882,73,76,7,1993,1,7797780.3
89492,44,68,9,2003,8,8957726.3
94972,19,23,2,1990,1,9500113
38606,28,14,1,1999,6,3864489.9
4389,21,22,4,1991,9,441287.1
9088,21,93,9,2008,3,913263.8
64256,37,87,2,1994,9,6438154.4
88976,6,74,3,2011,8,8906213.1
8910,20,93,5,2012,7,898488.2
13851,77,83,1,2019,7,1392391.9
15928,29,81,2,2017,10,1603995.7
67849,40,94,1,1996,4,6792498.6
91073,72,50,9,2018,7,9111251.8
91458,44,49,8,1991,6,9149688.1
46478,6,31,2,2003,7,4657996.3
62592,47,30,10,2017,7,6262694.7
60680,49,80,6,2012,4,6075501.2
85659,57,17,10,2015,7,8567586.5
35188,79,52,1,2010,10,3523563
91123,89,47,5,2008,9,9116372.8
78117,98,84,4,1997,7,7825898.7
98689,75,55,4,2009,6,9874062.9
1720,73,83,8,1991,5,183918.1
14345,37,99,10,1997,9,1445853.7
30914,5,2,4,1996,8,3092163.6
4099,27,84,3,2000,8,413304
23478,80,5,2,2019,6,2351874.9
1086,4,81,2,2011,9,116061.1
45181,78,39,8,1994,10,4525938.4
176,30,15,3,2000,9,18985
79680,84,100,8,2018,0,7975851.8
32776,72,71,5,2001,8,3283690.1
88755,4,5,7,2011,5,8882476.1
95096,68,83,5,2009,0,9515861.9
77212,70,16,9,2012,5,7727317.2
46910,80,99,6,1994,8,4706368.4
75487,82,97,7,2011,1,7558644.1
41090,24,39,3,2010,2,4114595
87111,16,71,10,2008,1,8716894.8
87353,5,47,3,1991,8,8745540.1
29664,88,87,8,2006,3,2975680.6
23184,56,100,9,1997,3,2335644.7
65482,66,21,6,1996,6,6556065.6
81602,9,46,6,2017,2,8169478.7
48129,73,76,7,1994,2,4823162.4
2684,97,19,3,2010,8,272104
17563,51,95,8,2013,2,1762997.3
37853,97,54,6,2019,0,3792902.9
25147,35,81,7,2014,6,2521731.4
23843,64,87,6,1999,2,2391434.9
68369,86,19,7,2010,2,6843646
11583,49,9,6,2012,4,1161984.2
9559,28,76,1,2020,6,963514
38611,20,53,7,2020,6,3870229
17618,9,36,6,1992,1,1771805.2
73903,34,35,2,2017,5,7397590.7
24484,22,21,9,2000,8,2452550
32442,25,51,7,2004,4,3252838.4
38826,53,91,8,2001,5,3890080.1
65340,84,34,4,2004,7,6536254.4
93638,51,62,4,1992,9,9378471.2
61146,84,54,5,2021,9,6125077.1
24004,62,99,9,2003,4,2414637.3
83588,82,57,4,1994,2,8369526.4
85820,72,70,9,2002,1,8588402.2
39799,23,76,8,1993,9,3984987.3
84355,23,22,10,1999,9,8439985.9
59747,38,13,7,1994,8,5984506.4
6009,36,59,9,2016,9,612067.6
5965,25,88,10,2017,1,601173.7
78079,31,98,6,2001,7,7820045.1
48378,17,19,6,2000,1,4848213
94695,86,1,1,1992,8,9478421.2
48642,56,87,3,2020,7,4869835
11524,24,65,8,2018,10,1161912.8
97539,70,88,10,1990,10,9761326
825,24,23,4,2008,4,87430.8
64365,46,27,8,2018,3,6444610.8
68063,52,51,4,1990,4,6813816
41848,55,99,1,1992,0,4200544.2
78741,54,60,2,2005,2,7880701.5
16824,86,72,8,2010,10,1695808
51203,59,58,9,2010,5,5123643
97108,30,88,7,2008,8,9714782.8
69261,41,29,5,2008,3,6935036.8
89425,19,47,9,2002,8,8952287.2
26792,67,32,5,2003,1,2684819.3
91443,65,61,7,2002,5,9148710.2
89470,47,4,8,2005,8,8947834.5
53313,41,47,6,2003,9,5335501.3
93913,6,15,6,2009,0,9396713.9
31042,48,53,6,2003,5,3109396.3
9329,18,18,10,2018,8,934231.8
42272,8,15,4,2017,5,4232650.7
30588,71,73,9,1998,2,3064993.8
99742,96,51,9,2013,6,9984910.3
33065,15,22,3,1998,10,3314847.8
22702,10,49,10,1995,6,2271827.5
31885,26,68,2,2005,7,3202805.5
64602,77,65,5,1996,6,6467513.6
75853,17,63,6,2004,8,7591050.4
5409,51,70,3,2017,7,546201.7
80699,20,88,10,2009,8,8074576.9
8607,17,14,4,1992,1,862453.2
75057,63,63,5,2017,6,7518049.7
70919,11,44,10,1997,10,7101031.7
29710,96,67,8,2015,2,2978583.5
61798,46,54,1,2013,0,6182113.3
6313,53,67,6,2014,0,641055.4
60375,50,65,9,2004,9,6038750.4
69421,45,9,2,2014,9,6945284.4
89086,4,16,10,2019,9,8909993.9
68603,60,23,9,2020,2,6861289
12448,59,44,2,2003,0,1249624.3
37945,85,79,8,2001,5,3799158.1
34867,42,69,5,1991,1,3491110.1
16547,85,40,5,2008,10,1659757.8
58218,14,46,6,2004,10,5834539.4
28790,88,45,2,2005,10,2882833.5
92822,54,9,10,1999,5,9287119.9
89217,75,77,4,1991,8,8929604.1
65822,14,59,7,2006,5,6588632.6
617,21,27,4,2013,3,67453.3
37171,98,18,5,2012,9,3719105.2
82918,54,10,10,1999,8,8292659.9
4130,26,41,6,2021,7,421621.1
95145,60,50,9,2020,4,9519958
58864,11,1,3,2014,9,5891413.4
94363,61,23,9,1999,7,9440706.9
78204,16,46,8,2012,9,7822501.2
71588,89,21,7,2012,5,7161052.2
68579,67,70,2,1997,4,6868611.7
19174,44,54,3,1996,9,1923170.6
90646,21,82,1,1997,3,9071481.7
81430,82,54,6,2020,4,8147920
99428,94,68,6,2018,3,9947775.8
60815,2,97,10,2015,5,6089911.5
95591,90,39,5,1993,10,9569415.3
47497,18,72,5,2009,6,4761272.9
65725,75,95,9,2000,9,6582022
21360,8,60,7,1991,4,2139458.1
56559,23,60,4,1990,4,5661049
45440,74,98,10,2002,0,4550279.2
13112,74,26,9,1993,9,1318665.3
68276,71,31,4,2012,10,6829756.2
64518,90,61,6,2020,6,6455071
56093,94,11,10,2008,2,5619471.8
84653,83,20,8,1997,1,8467089.7
96169,51,13,3,2019,7,9620987.9
57789,60,24,6,2008,5,5787699.8
93091,33,43,9,1993,8,9317741.3
87190,99,14,7,2013,0,8724894.3
38998,68,31,3,1996,2,3910733.6
97134,61,68,4,2019,7,9718663.9
39309,80,32,3,2001,7,3939850.1
70751,87,93,8,2003,7,7084089.3
63086,91,49,2,2013,10,6312576.3
25472,23,44,3,2003,9,2552592.3
3514,8,21,6,2013,2,357856.3
99134,67,32,9,1998,2,9919472.8
82653,31,37,6,1992,3,8270829.2
3723,75,31,10,2010,3,378299
28232,6,18,10,1997,1,2827201.7
46838,49,51,8,2020,6,4691794
90562,47,7,1,2002,4,9066552.2
562,95,97,5,2003,10,65326.3
5603,75,73,10,1992,5,566684.2
61704,20,11,6,2012,6,6176111.2
49579,99,37,10,1996,8,4967775.6
59885,28,25,4,2010,3,5995883
72109,81,41,8,1995,8,7220099.5
41965,87,61,4,2000,7,4204881
94216,32,75,9,1996,3,9432083.6
39166,68,86,5,2008,7,3924397.8
9923,41,46,10,1994,7,995743.4
49374,38,63,6,2000,10,4944387
76316,99,56,1,1995,2,7634333.5
26089,30,6,2,2013,9,2615548.3
98045,21,62,10,1995,3,9818036.5
69594,47,58,3,2021,5,6963010.1
56966,77,17,7,1992,2,5701030.2
64795,53,64,10,1996,7,6489157.6
39574,37,54,1,2018,1,3969486.8
49014,54,62,3,2014,2,4908129.4
17034,50,89,2,2006,5,1717170.6
18742,10,10,1,2015,6,1879684.5
98794,80,91,2,2021,8,9886677.1
72207,46,33,2,1996,3,7230004.6
54881,24,72,10,1998,2,5494411.8
12873,1,12,5,2010,5,1288333
66263,51,4,7,2020,8,6628369
26965,29,19,6,2002,6,2703481.2
9433,84,1,3,2015,7,944025.5
95293,80,43,4,1993,5,9534163.3
86619,36,7,4,1990,8,8663060
8677,63,61,1,1996,3,875920.6
83153,43,84,7,2014,9,8326391.4
81892,7,69,10,2015,6,8204629.5
21293,25,24,1,2007,9,2131214.7
43636,13,11,1,2007,5,4373848.7
1254,23,12,3,2018,1,127840.8
96953,70,55,9,2014,7,9703052.4
92877,22,57,3,1993,8,9293826.3
37312,40,9,4,2000,4,3735539
44075,60,27,2,2005,8,4416478.5
55845,73,76,2,2020,9,5593543
68565,89,21,2,1996,6,6862474.6
87484,77,27,1,2015,6,8750467.5
89220,31,64,9,2014,8,8928266.4
31525,25,58,1,1992,0,3161366.2
52579,55,2,6,2013,7,5263918.3
30803,39,49,10,2004,6,3085897.4
82120,31,33,4,2018,0,8223358.8
71171,22,44,1,2001,4,7127415.1
579,8,20,2,1994,7,63718.4
89204,69,19,1,1994,6,8921053.4
5904,56,1,7,2018,1,595108.8
92629,62,15,8,2003,3,9263965.3
77553,96,99,10,2005,8,7763278.5
3542,16,92,8,1998,10,363918.8
10749,68,71,7,2000,8,1085899
38021,76,82,2,1991,0,3817885.1
97193,47,18,2,2009,5,9723642.9
13309,20,73,8,2004,5,1337541.4
10708,84,93,6,1998,10,1076965.8
77460,95,23,9,2008,2,7753079.8
94133,93,71,5,2012,10,9415634.2
99869,63,15,7,2001,10,9990641.1
66370,15,20,3,2002,7,6638720.2
74780,86,3,2,2005,1,7479141.5
89925,25,50,7,1992,6,8999987.2
28808,71,13,10,2010,3,2888357
28640,68,98,2,1990,1,2870927
15517,54,27,9,2001,4,1554406.1
11059,42,85,9,2011,0,1113128.1
86183,10,31,10,2010,0,8624347
19408,71,50,6,2013,5,1953014.3
26958,32,40,2,2001,0,2706761.1
45859,4,69,2,2008,9,4595196.8
55845,54,41,7,2019,7,5588845.9
43304,52,72,2,2009,9,4337442.9
79511,16,48,5,2007,5,7953040.7
88501,53,54,3,1992,8,8853507.2
75616,74,80,10,2006,9,7571050.6
18368,21,7,9,2002,10,1837769.2
5375,33,58,3,2010,3,550909
6707,72,4,4,2001,0,673817.1
92190,11,72,10,1995,2,9225418.5
25432,58,46,7,2011,7,2550518.1
37793,34,55,4,1996,0,3786136.6
60854,27,30,7,2019,1,6092125.9
91531,85,12,8,2007,1,9157941.7
68876,40,25,7,1990,2,6891640
7608,98,6,7,2019,4,764900.9
68717,60,13,10,2004,4,6877356.4
65723,52,24,6,2008,4,6578284.8
80039,64,39,4,1990,1,8008148
62744,34,26,9,1990,4,6279042
33624,60,29,1,2016,1,3371675.6
7939,23,75,4,1995,9,806234.5
62854,33,71,6,2006,10,6289045.6
51757,81,35,1,2002,4,5177725.2
32497,56,20,7,2018,1,3253783.8
32267,51,59,8,2019,2,3235159.9
92490,40,23,3,2009,2,9254979.9
72677,78,57,10,2019,10,7274269.9
68744,89,77,5,2013,3,6883722.3
87436,65,77,5,2005,6,8753875.5
80776,37,38,8,1990,8,8086132
30472,87,34,7,2001,1,3053446.1
52141,65,40,1,1999,5,5218700.9
51777,6,38,1,2007,8,5186005.7
40280,72,56,7,2002,6,4036659.2
79457,58,18,4,1992,6,7949180.2
93568,51,31,5,2017,7,9362309.7
656,98,12,3,2016,10,68528.6
28997,16,28,3,1992,5,2906243.2
97147,4,98,9,1995,0,9722196.5
69411,45,25,2,2013,3,6945253.3
38190,42,92,5,2012,0,3828288.2
81473,12,1,3,1990,2,8154129
23682,31,97,10,2007,4,2381051.7
81448,44,24,10,1996,8,8146243.6
16127,73,6,8,2005,6,1615094.5
61486,18,39,4,1995,7,6155982.5
96526,1,65,5,2005,6,9657380.5
55287,83,7,1,2017,3,5529453.7
86820,16,34,1,2012,1,8683419.2
93373,79,74,7,1990,4,9348395
33098,24,13,10,2021,5,3318507.1
69898,71,77,1,1992,3,6994429.2
11401,44,99,6,2013,3,1152914.3
66705,50,11,6,2007,9,6672336.7
38947,88,21,4,2018,8,3900872.8
65205,6,19,1,2004,5,6523874.4
19339,2,81,3,2003,4,1939172.3
23971,18,59,1,2005,7,2402438.5
50944,19,11,4,2013,1,5099151.3
43283,59,43,8,2002,10,4336072.2
29323,58,7,8,2000,8,2938369
81362,72,72,7,1994,6,8144502.4
8941,4,94,5,2012,1,902785.2
34967,30,49,4,2009,1,3501658.9
66555,56,36,10,2020,4,6664457
85985,4,34,1,2005,6,8608190.5
85645,49,1,3,1998,0,8570147.8
39215,18,21,10,1994,7,3927273.4
56643,14,58,4,2018,7,5673199.8
60479,97,11,6,2016,4,6049532.6
20348,57,75,10,2021,2,2037902.1
66371,49,75,5,2012,9,6646262.2
31291,16,27,8,2012,8,3134903.2
7330,54,95,9,2014,4,740586.4
41502,81,63,9,2016,7,4155333.6
23027,52,35,5,2013,6,2309849.3
53371,41,97,2,2003,6,5346532.3
26997,44,99,1,2001,1,2712687.1
16806,10,19,6,1998,0,1686882.8
44304,87,63,10,2002,5,4436179.2
66563,56,53,7,2005,3,6665417.5
89812,74,14,7,2002,8,8986041.2
39302,41,67,6,2016,4,3933732.6
44799,32,71,5,2003,6,4489422.3
36268,23,65,2,1997,4,3633523.7
86676,22,12,2,1999,3,8672062.9
83120,8,7,1,2005,9,8313030.5
25341,85,47,1,2014,0,2544899.4
25105,8,33,7,2006,3,2515100.6
54090,61,36,7,1996,0,5418306.6
80610,64,93,1,2007,2,8071729.7
65507,43,90,3,2004,2,6557760.4
27204,73,2,10,1997,1,2726114.7
79025,88,42,9,2014,7,7908018.4
3452,7,76,8,2001,1,355370.1
21550,89,100,7,2013,10,2164424.3
11657,88,21,5,2012,0,1170585.2
28103,84,15,1,1993,1,2815163.3
47957,13,47,1,2017,5,4801705.7
63519,91,31,2,2006,10,6358243.6
76021,71,12,5,1990,0,7607661
88259,8,96,2,1998,5,8832355.8
82787,69,80,10,2014,6,8289297.4
56517,45,25,5,1999,8,5657851.9
29096,51,45,2,1996,0,2913547.6
36216,15,69,3,1999,1,3622946.9
5139,71,51,5,1998,2,525841.8
25487,54,76,10,2002,2,2562661.2
35733,25,3,9,2003,3,3573868.3
16735,92,80,9,2010,1,1677084
56202,3,89,5,2001,5,5629550.1
12426,33,40,2,2020,9,1253371
33984,100,41,10,1990,3,3402691
98651,32,48,10,2004,10,9870164.4
5117,58,30,3,2018,6,517775.8
56800,87,12,9,1999,9,5683058.9
90904,25,53,10,2009,9,9093802.9
26923,55,57,1,2004,2,2698265.4
15734,35,24,3,2003,8,1579608.3
17513,81,73,5,1996,8,1761977.6
14052,47,67,6,2013,5,1411943.3
19727,58,82,5,1996,7,1984798.6
77423,58,16,1,1996,9,7749477.6
65904,84,47,1,2002,0,6596494.2
29001,49,72,10,1994,5,2912635.4
32361,44,57,10,2018,3,3240276.8
93174,36,53,8,1997,1,9325575.7
71192,8,89,7,2021,5,7129401.1
68128,39,18,5,1999,10,6817710.9
98923,61,33,8,2015,0,9897661.5
72196,50,12,6,2013,1,7225665.3
99278,10,41,5,2004,2,9932606.4
30896,94,40,4,2014,0,3092891.4
50293,82,99,6,1994,1,5038042.4
18229,24,84,3,2001,4,1832795.1
79224,87,84,7,2008,0,7926948.8
91975,49,24,4,2012,10,9198849.2
36387,4,17,9,1993,2,3642700.3
32136,96,82,7,2012,4,3227676.2
20995,5,29,2,2015,5,2103067.5
94361,77,42,10,2020,7,9442418
53019,41,8,5,2004,4,5306854.4
8609,35,55,5,2012,4,867508.2
64245,59,5,2,2012,5,6430465.2
28192,64,12,4,2000,1,2820880
14933,56,100,1,2020,7,1500885
54323,79,83,5,2015,1,5442454.5
92204,27,33,4,2008,10,9226065.8
3314,3,3,8,2014,0,336316.4
17466,80,51,6,2005,1,1751126.5
17389,98,30,1,2008,3,1744561.8
23444,72,62,1,2019,4,2349143.9
24097,42,31,1,1991,1,2416228.1
59850,12,18,8,2006,10,5990534.6
88387,59,40,3,1994,3,8845142.4
17671,45,88,6,2001,3,1777405.1
8537,59,49,8,1998,7,859540.8
19183,18,41,10,2004,3,1919702.4
74178,54,36,5,2016,9,7424829.6
10562,38,14,7,2014,1,1058582.4
77339,55,50,4,2008,8,7741650.8
9842,92,1,1,2009,10,987460.9
39477,84,22,7,1993,5,3948983.3
22482,95,87,1,1997,8,2256703.7
26592,72,49,9,1992,10,2667272.2
27008,9,96,4,2013,7,2714052.3
48768,37,86,6,2016,6,4887404.6
81967,13,86,4,2003,1,8208953.3
94845,37,98,2,2000,0,9494690
22451,98,37,9,1990,2,2250405
89087,2,44,7,2007,1,8914578.7
4881,78,96,3,2007,6,493342.7
31484,95,73,10,2010,0,3158232
42616,83,97,4,1996,1,4272292.6
99840,13,40,5,2002,4,9988738.2
67360,55,42,8,2003,6,6742928.3
70010,92,29,9,2011,1,7008509.1
23228,16,18,2,2013,3,2324503.3
67055,85,70,8,2011,9,6712487.1
39758,19,2,5,2011,0,3983187.1
47618,53,98,6,1996,4,4765943.6
39897,78,34,5,2019,9,3998497.9
49729,3,89,10,1991,0,4984739.1
86564,12,17,2,2014,1,8664807.4
7426,29,59,6,2013,5,748575.3
97110,72,77,1,1993,8,9718256.3
83738,35,39,6,2010,2,8379855
77716,85,28,1,2006,5,7773638.6
88251,56,30,6,2011,6,8828611.1
38800,99,53,4,2003,0,3883353.3
54789,36,47,8,2005,9,5480117.5
99099,42,31,9,2005,9,9915651.5
77018,26,63,10,2015,6,7704215.5
69707,67,58,8,2005,3,6977217.5
84211,28,66,5,1996,2,8426333.6
59752,83,86,5,1995,0,5987095.5
37815,67,26,8,2005,0,3783946.5
18681,89,18,3,2001,5,1876356.1
28285,28,97,1,2006,1,2840774.6
59773,42,18,5,1999,10,5978589.9
87566,38,15,8,2008,6,8759575.8
58801,69,100,3,2016,1,5891738.6
6454,29,63,2,1996,2,646692.6
87590,42,29,2,2021,1,8764908.1
25532,94,25,1,2006,3,2555050.6
15791,20,7,1,1996,7,1583248.6
32737,24,98,1,1995,10,3278517.5
74097,11,29,5,2003,7,7411597.3
24995,59,95,10,2009,3,2511825.9
13591,18,28,6,1990,4,1367021
77100,83,63,7,2004,8,7719293.4
21189,23,83,7,1994,3,2126521.4
28195,80,80,6,1995,5,2826549.5
92363,66,68,9,2013,5,9242507.3
31752,69,27,3,1997,7,3181933.7
94966,64,56,6,2010,1,9505250
35493,27,100,5,1997,2,3558407.7
78152,6,21,1,2005,3,7819761.5
13874,91,8,7,1992,4,1393115.2
74893,14,37,6,2015,7,7490630.5
36314,100,42,7,2008,5,3638453.8
34804,35,37,6,1991,3,3484349.1
33783,24,7,4,1993,4,3384758.3
47739,40,40,4,2007,0,4782451.7
39108,64,67,10,2020,5,3915608
36823,16,36,1,2002,9,3687131.2
88221,94,51,10,2004,5,8828225.4
78977,96,58,2,2004,3,7906006.4
99680,12,69,5,1997,2,9978509.7
5658,56,97,6,1999,1,577145.9
15526,11,32,4,2013,1,1555821.3
62964,16,13,10,1990,4,6298222
89172,65,84,9,2016,4,8919647.6
111,32,34,4,2003,7,14431.3
43467,34,22,3,1998,6,4350497.8
35112,98,47,1,2002,10,3515831.2
6600,61,72,1,1994,8,667067.4
46709,69,86,9,1996,3,4680113.6
6856,55,22,9,2007,6,689679.7
7148,50,51,3,2014,0,723077.4
53062,91,13,1,1990,3,5313492
43159,96,43,3,1994,10,4318950.4
40705,74,52,9,1991,9,4080567.1
86419,3,51,7,1996,9,8645299.6
37225,64,10,9,1995,0,3729838.5
13912,15,65,4,1995,8,1399630.5
12228,84,20,9,2011,6,1227403.1
873,11,51,5,2005,1,92386.5
77472,32,68,2,2001,3,7749318.1
55812,95,34,4,2011,8,5584760.1
56730,16,58,5,1993,9,5674735.3
33002,61,10,3,1995,6,3307651.5
3929,61,87,4,1993,9,398525.3
66744,40,44,5,2011,10,6681155.1
92759,25,83,10,2020,9,9279850
4117,95,74,9,1990,0,424791
65476,3,62,5,1990,6,6554554
50404,92,15,1,1991,0,5042499.1
85421,62,23,3,2006,5,8543272.6
54226,21,36,5,1999,8,5426007.9
56287,87,91,2,2000,1,5637555
84340,37,28,8,2007,0,8437869.7
57577,17,24,1,2013,1,5759307.3
27451,80,20,3,2015,9,2747145.5
79814,41,98,1,2004,0,7987492.4
53894,15,58,2,2019,3,5396620.9
36095,34,32,4,1995,3,3617203.5
93290,54,60,4,2001,6,9335722.1
16478,5,64,9,2009,9,1651205.9
68482,51,35,9,2021,6,6853208.1
23614,53,90,4,2020,8,2368476
73692,80,20,6,1992,7,7375143.2
46227,32,36,8,1993,3,4632832.3
57454,35,90,4,1998,7,5753949.8
18929,79,76,4,2009,0,1899066.9
20572,37,13,10,2004,3,2059597.4
18012,30,46,8,1991,5,1804873.1
59361,29,76,8,2010,0,5942427
85444,35,97,1,2002,5,8553656.2
64265,50,44,6,1998,7,6430203.8
1986,44,79,8,2020,10,207433
16999,65,1,10,1996,10,1700539.6
68912,26,33,1,1990,8,6902784
59986,57,17,1,2008,10,6004309.8
45426,64,9,7,1994,6,4543837.4
28347,40,81,7,2011,1,2843096.1
15124,68,56,5,2012,3,1514981.2
72495,90,55,8,1990,8,7255630
39097,32,18,6,2011,1,3915258.1
45958,17,7,10,2002,0,4597561.2
11898,67,10,5,2000,8,1191000
54901,65,71,9,1994,10,5499856.4
18198,25,66,2,2009,2,1828162.9
98149,91,24,10,2008,5,9820073.8
94491,76,37,4,1998,10,9456801.8
63261,94,6,5,1995,5,6327015.5
77990,97,93,2,2017,10,7809156.7
4827,90,11,3,1993,8,486479.3
50472,71,39,10,2021,3,5055489.1
51798,99,56,1,2014,3,5185741.4
29431,69,30,7,2017,9,2950835.7
52915,63,97,9,1996,8,5302289.6
47831,78,99,8,2012,5,4792760.2
24511,39,42,5,2015,4,2454663.5
33612,29,22,1,1995,7,3364167.5
52223,81,93,7,1993,10,5232399.3
98796,32,68,6,1997,6,9885975.7
2770,36,86,5,2017,3,285402.7
58108,25,79,1,2018,3,5822178.8
1933,57,18,8,2011,9,194307.1
78046,5,62,4,2005,3,7810522.5
81425,17,99,7,1992,8,8154947.2
74709,32,61,7,1993,9,7476997.3
58527,27,76,4,1993,2,5858721.3
